Name,Market_cap,Price,Change(24)
Lisk,"$149,373,601",$1.20,1.64%
Siacoin,"$147,949,162",$0.003538,5.21%
Enjin Coin,"$147,432,199",$0.179532,2.16%
Elrond,"$143,235,962",$0.010873,-8.17%
TrueUSD,"$136,731,919",$0.998775,-0.17%
Nano,"$136,048,744",$1.02,2.13%
Ravencoin,"$134,759,799",$0.020503,4.59%
Nexo,"$124,649,658",$0.222589,1.43%
Bytom,"$121,682,369",$0.110424,19.71%
Waves,"$121,427,816",$1.19,0.81%
HUSD,"$117,287,455",$0.998724,-0.16%
Holo,"$116,495,082",$0.000704,-7.86%
Loopring,"$112,514,931",$0.101247,6.46%
MonaCoin,"$110,880,463",$1.69,0.19%
Verge,"$110,203,415",$0.006751,2.88%
Nervos Network,"$108,727,881",$0.005469,8.12%
Bancor,"$107,773,569",$1.56,5.22%
ZB Token,"$102,550,629",$0.221354,-0.08%
DxChain Token,"$101,493,883",$0.002030,0.26%
IOST,"$97,907,145",$0.006523,2.52%
Celsius,"$96,203,611",$0.402756,3.67%
Flexacoin,"$95,634,898",$0.003379,2.29%
Status,"$93,152,197",$0.026841,0.76%
Quant,"$91,775,371",$7.60,-1.39%
Divi,"$87,622,397",$0.049265,4.53%
Ampleforth,"$87,013,915",$3.19,2.32%
BitTorrent,"$84,694,634",$0.000399,-3.31%
Komodo,"$82,836,163",$0.686281,5.20%
Blockstack,"$80,810,663",$0.154926,7.40%
Terra,"$80,084,354",$0.207986,0.13%
Steem,"$78,976,930",$0.213139,0.87%
Matic Network,"$78,420,875",$0.021044,0.93%
iExec RLC,"$72,902,892",$0.910480,4.78%
BitShares,"$69,876,813",$0.025401,2.41%
Hive,"$69,566,465",$0.230944,-0.55%
Horizen,"$69,232,542",$7.30,-1.15%
MCO,"$66,777,557",$4.23,0.68%
WAX,"$65,914,611",$0.053675,0.89%
SwissBorg,"$64,930,635",$0.090874,3.22%
Stratis,"$64,862,271",$0.649452,-0.47%
KuCoin Shares,"$64,420,003",$0.792859,0.15%
Super Zero Protocol,"$64,363,622",$0.232905,3.47%
Energi,"$59,305,559",$1.93,-0.12%
ABBC Coin,"$59,239,793",$0.106658,0.15%
Kava,"$58,544,203",$1.75,28.49%
Zcoin,"$58,267,860",$5.54,2.37%
Chiliz,"$58,077,684",$0.012392,-1.15%
Decentraland,"$56,964,127",$0.040345,0.75%
Electroneum,"$56,289,115",$0.005538,-1.09%
HyperCash,"$56,154,410",$1.26,1.73%
aelf,"$55,289,565",$0.101546,4.10%
NULS,"$54,427,462",$0.555864,6.37%
v.systems,"$54,364,321",$0.026681,2.93%
Golem,"$54,222,120",$0.054733,2.21%
Numeraire,"$53,828,340",$19.97,-0.48%
Ardor,"$52,719,012",$0.052772,2.56%
Reserve Rights,"$52,377,554",$0.007646,0.49%
Aion,"$51,597,905",$0.117450,11.10%
RSK Infrastructure Framework,"$50,842,183",$0.081921,0.02%
Digitex Futures,"$49,909,134",$0.056923,-2.54%
TomoChain,"$48,356,333",$0.678569,2.00%
Aeternity,"$47,763,527",$0.151555,-1.28%
Pundi X,"$47,045,351",$0.000201,-2.86%
SOLVE,"$45,504,633",$0.133631,-2.11%
MaidSafeCoin,"$44,538,201",$0.098416,3.05%
Aragon,"$44,265,110",$1.38,0.61%
Bytecoin,"$43,819,684",$0.000238,-0.89%
Unibright,"$43,446,054",$0.292379,-4.49%
CyberVein,"$43,302,603",$0.040836,6.41%
PAX Gold,"$43,037,025","$1,803.63",0.35%
Ocean Protocol,"$40,428,274",$0.117431,16.52%
Power Ledger,"$40,246,656",$0.095131,3.92%
WaykiChain,"$39,708,074",$0.210096,7.37%
Harmony,"$38,274,758",$0.006119,0.64%
Swipe,"$38,074,636",$0.577039,2.98%
Ark,"$37,672,567",$0.308347,7.71%
Band Protocol,"$37,304,170",$1.82,12.34%
ReddCoin,"$37,099,067",$0.001288,4.74%
Gatechain Token,"$36,732,665",$0.530630,0.68%
DAD,"$36,375,434",$0.306272,0.98%
Orbs,"$36,364,985",$0.016648,-0.50%
STASIS EURO,"$35,944,195",$1.12,0.48%
Elastos,"$35,923,215",$1.95,12.10%
Streamr,"$34,667,556",$0.050911,0.67%
Xensor,"$34,100,108",$0.030777,-0.14%
GXChain,"$32,984,659",$0.507456,-0.24%
Huobi Pool Token,"$32,864,258",$0.006591,2.15%
Theta Fuel,"$32,705,533",$0.008521,1.47%
Storj,"$32,664,496",$0.167811,-0.72%
Thunder Token,"$31,965,170",$0.005861,4.18%
Dragonchain,"$31,440,966",$0.092691,-0.94%
Crypterium,"$30,501,776",$0.306582,-0.02%
Ripio Credit Network,"$30,387,092",$0.059252,1.77%
Request,"$30,309,165",$0.038640,11.36%
IoTeX,"$30,163,964",$0.006253,1.96%
Cortex,"$30,012,082",$0.120078,2.58%
Gnosis,"$29,356,334",$26.58,0.28%
Waltonchain,"$29,122,338",$0.418110,6.30%
Seele-N,"$28,964,199",$0.041402,2.47%
Utrust,"$28,549,771",$0.063444,14.89%
Molecular Future,"$28,251,516",$0.330500,8.18%
Insolar,"$28,181,732",$0.704543,-5.41%
BHEX Token,"$27,999,589",$0.143118,0.01%
IRISnet,"$27,939,076",$0.037137,16.36%
Fetch.ai,"$27,750,124",$0.037473,8.45%
Wanchain,"$27,678,842",$0.223397,2.87%
Project Pai,"$27,022,679",$0.018346,14.85%
Beam,"$26,701,173",$0.404499,3.04%
FunFair,"$26,417,697",$0.004034,1.56%
Haven Protocol,"$26,323,158",$2.03,-9.93%
Fusion,"$26,177,576",$0.575636,5.99%
Nebulas,"$26,062,421",$0.501658,14.45%
Wirex Token,"$25,797,234",$0.009920,1.04%
Nimiq,"$25,793,423",$0.004157,-2.56%
TrueChain,"$25,637,060",$0.322173,5.63%
PIVX,"$25,602,759",$0.450902,0.97%
WINk,"$24,385,396",$0.000078,0.67%
Polymath,"$23,524,637",$0.045147,3.94%
MX Token,"$23,175,260",$0.128538,1.00%
12Ships,"$23,074,767",$0.004706,0.64%
Origin Protocol,"$22,953,415",$0.305802,-1.37%
Aurora,"$22,654,863",$0.003463,0.91%
WazirX,"$22,637,675",$0.146958,5.34%
Kusama,"$22,561,962",$7.56,4.36%
Grin,"$22,425,076",$0.480040,2.05%
Metal,"$22,186,447",$0.338808,0.80%
XinFin Network,"$21,830,153",$0.003216,1.85%
BOSAGORA,"$21,585,838",$0.076513,9.36%
Tachyon Protocol,"$21,290,879",$0.079783,-0.68%
Ankr,"$21,240,063",$0.004114,11.87%
ARPA Chain,"$21,030,511",$0.028725,-12.29%
Function X,"$21,024,472",$0.092698,3.09%
Loom Network,"$20,633,584",$0.021271,1.81%
Fantom,"$20,452,449",$0.011277,11.00%
Syscoin,"$19,611,976",$0.033228,2.88%
Enigma,"$19,239,198",$0.257084,2.40%
BitKan,"$18,898,587",$0.002971,1.38%
Civic,"$18,766,915",$0.028010,1.27%
Populous,"$18,458,137",$0.346617,1.31%
Aidos Kuneen,"$18,247,248",$0.729890,-4.31%
Nash Exchange,"$18,142,659",$0.773919,-2.43%
Celer Network,"$18,065,729",$0.004774,-1.71%
Dent,"$18,063,333",$0.000220,-2.23%
HEX,"$840,634,250",$0.003497,-3.62%
Acash Coin,"$552,593,416",$0.078904,-60.78%
VestChain,"$471,215,979",$0.053257,-3.18%
INO COIN,"$375,942,165",$2.09,-0.53%
Counos X,"$360,730,677",$20.37,-0.12%
TNC Coin,"$233,922,129",$0.101246,-0.71%
MINDOL,"$192,603,847",$1.13,-2.92%
TAGZ5,"$186,924,902",$0.486198,19.37%
BitBay,"$177,405,712",$0.175277,0.22%
Zelwin,"$164,422,643",$4.34,-4.29%
MimbleWimbleCoin,"$162,299,927",$15.67,3.07%
Insight Chain,"$159,218,410",$0.455036,10.25%
ThoreCoin,"$155,460,820","$1,793.38",0.22%
Baer Chain,"$111,149,897",$0.638793,0.14%
Advanced Internet Blocks,"$100,651,227",$0.004157,-14.87%
Homeros,"$99,875,716",$0.433937,0.38%
GlitzKoin,"$98,313,344",$0.397227,0.55%
Velas,"$96,335,252",$0.071742,1.15%
botXcoin,"$95,867,272",$0.058739,0.19%
Metaverse Dualchain Network Architecture,"$92,734,298",$0.006539,0.90%
Cryptonex,"$92,364,366",$1.66,0.41%
Idea Chain Coin,"$90,517,207",$2.80,10.13%
Mixin,"$88,609,990",$171.37,-0.27%
PlayFuel,"$81,927,566",$0.163855,3.66%
Sologenic,"$81,239,720",$0.406195,-1.23%
THORChain,"$74,032,904",$0.467285,3.68%
Counos Coin,"$72,932,662",$4.91,-0.08%
Centrality,"$70,854,795",$0.078631,-0.46%
QCash,"$65,639,277",$0.142694,-0.08%
ERC20,"$58,826,023",$0.052217,-2.86%
NewYork Exchange,"$58,558,611",$9.31,0.15%
Largo Coin,"$55,088,842",$3.26,-67.83%
Beldex,"$54,670,479",$0.055774,2.59%
Wrapped Bitcoin,"$53,658,842","$9,222.41",0.32%
STEM CELL COIN,"$52,438,869",$0.163535,7.36%
Elamachain,"$49,437,516",$0.087356,-3.93%
FABRK,"$47,015,715",$0.009806,3.45%
Bitbook Gambling,"$45,953,811",$0.128475,7.55%
Joule,"$45,705,069",$0.045230,0.00%
Attila,"$45,250,745",$0.100472,-0.56%
BitcoinHD,"$43,565,897",$7.16,0.24%
BTU Protocol,"$43,201,386",$0.479935,-0.89%
Bankera,"$40,855,346",$0.001660,1.21%
Breezecoin,"$37,400,427",$0.374004,-0.19%
Bloomzed Token,"$36,350,029",$1.58,3.61%
Vitae,"$35,132,790",$1.80,5.28%
Bitball Treasure,"$34,702,865",$77.12,107.27%
Tap,"$32,623,321",$0.062882,-3.87%
Buggyra Coin Zero,"$31,652,782",$0.015742,1.92%
APIX,"$31,454,310",$0.285982,2.59%
Egoras,"$31,425,360",$0.000482,16.55%
Stakenet,"$29,444,277",$0.282251,8.46%
PRIZM,"$28,874,169",$0.016063,-1.00%
USDK,"$28,570,687",$0.998973,-0.19%
Poseidon Network,"$27,549,583",$0.012797,1.18%
inSure,"$26,543,920",$0.007469,-14.33%
RChain,"$26,395,012",$0.054660,2.84%
Davinci Coin,"$26,226,575",$0.005793,-0.72%
UNI COIN,"$25,990,508",$0.433107,0.00%
Chimpion,"$25,123,778",$0.791864,-1.13%
Qubitica,"$25,077,204",$31.01,-1.17%
Nectar,"$24,974,840",$0.166921,2.56%
PLATINCOIN,"$24,818,969",$4.96,-1.40%
WhiteCoin,"$24,784,515",$0.099065,-7.34%
IDEX,"$24,705,008",$0.047532,-5.95%
BitMax Token,"$24,626,859",$0.037279,-0.36%
1irstcoin,"$24,165,238",$0.675648,0.29%
XeniosCoin,"$24,149,709",$0.316684,0.16%
Handshake ,"$23,956,583",$0.084292,1.49%
CasinoCoin,"$23,700,846",$0.000593,0.23%
Tratin,"$23,649,009",$0.000211,-3.16%
AgaveCoin,"$23,031,898",$0.058962,0.21%
sUSD,"$22,257,571",$0.988757,-0.80%
NEXT,"$21,917,056",$0.541271,-10.65%
CRYPTO20,"$21,779,372",$0.540180,2.91%
pNetwork,"$21,561,044",$0.694633,-0.82%
WOM Protocol,"$21,436,461",$0.214349,6.56%
Ultiledger,"$21,434,165",$0.014379,-0.73%
Folgory Coin,"$21,398,828",$1.35,17.40%
BigONE Token,"$20,143,690",$0.002132,0.51%
Hellenic Coin,"$19,913,287",$0.285685,-1.14%
Ecoreal Estate,"$19,332,815",$0.092537,-6.14%
Karatgold Coin,"$18,208,897",$0.003967,2.83%
DeviantCoin,"$18,194,767",$0.648441,-22.36%
Dynamic Trading Rights,"$17,890,384",$0.011559,0.27%
CRYPTOBUCKS,"$17,864,319",$0.004543,-26.19%
Bonorum,"$17,812,061",$46.15,8.20%
Gas,"$17,554,538",$1.73,2.71%
Ignis,"$17,531,533",$0.023033,-0.63%
CONTRACOIN,"$17,520,672",$0.987269,0.65%
Massnet,"$17,518,296",$0.226663,-4.32%
MovieBloc,"$17,357,596",$0.002049,-0.65%
Rocket Pool,"$17,331,964",$1.69,-11.67%
Machine Xchange Coin,"$17,289,812",$0.006792,3.94%
Quantstamp,"$17,163,597",$0.027804,9.65%
COTI,"$17,077,627",$0.033162,8.64%
ExtStock Token,"$16,976,379",$0.028219,0.00%
Everipedia,"$16,842,944",$0.001798,5.50%
Jewel,"$16,760,422",$0.306349,5.98%
Vertcoin,"$16,639,626",$0.299392,3.29%
WeShow Token,"$16,380,970",$0.035315,1.59%
Uquid Coin,"$16,362,001",$1.64,-2.39%
StormX,"$16,240,643",$0.002385,2.02%
ILCoin,"$16,114,929",$0.030789,1.00%
Cindicator,"$16,056,744",$0.008028,5.21%
Melon,"$16,029,124",$12.82,-2.06%
CryptalDash,"$15,937,173",$0.015937,-0.55%
Mooncoin,"$15,814,933",$0.000070,544.14%
Lambda,"$15,761,156",$0.020602,7.05%
SingularityNET,"$15,700,676",$0.019223,2.66%
GHOST,"$15,691,179",$1.16,4.05%
QuarkChain,"$15,611,970",$0.007214,0.20%
Hxro,"$15,602,264",$0.114877,5.15%
Solana,"$15,520,802",$0.899884,-1.33%
Kleros,"$15,380,703",$0.031802,-7.09%
Tierion,"$15,200,724",$0.035476,1.90%
Obyte,"$15,179,473",$20.21,3.45%
CWV Chain,"$15,013,764",$0.004240,-1.03%
Elitium,"$15,009,882",$0.903122,1.33%
Factom,"$14,833,820",$1.60,3.38%
Bit-Z Token,"$14,748,258",$0.115012,2.05%
LTO Network,"$14,650,682",$0.066081,4.28%
Newton,"$14,510,891",$0.000705,4.44%
Groestlcoin,"$14,504,388",$0.192256,0.01%
Loki,"$14,497,290",$0.296683,1.27%
BORA,"$14,374,819",$0.020023,-0.31%
ZEON,"$14,164,218",$0.000553,-38.23%
OriginTrail,"$14,128,882",$0.051612,5.60%
V-ID,"$14,044,187",$0.303606,4.08%
Travala.com,"$13,538,897",$0.345902,3.59%
BHPCoin,"$13,357,625",$0.662003,0.93%
Invictus Hyperion Fund,"$13,336,547",$0.112194,2.38%
Constellation,"$13,222,180",$0.010437,0.12%
Neutrino Dollar,"$13,105,240",$0.994724,0.08%
VideoCoin,"$13,101,357",$0.114281,1.17%
Apollo Currency,"$13,071,149",$0.000890,3.38%
Game.com,"$13,031,673",$0.017114,-4.18%
Nexus,"$12,998,004",$0.200984,-2.04%
Kin,"$12,785,408",$0.000008,8.05%
Voyager Token,"$12,782,737",$0.057503,-1.45%
AMO Coin,"$12,778,363",$0.000711,6.41%
ZBG Token,"$12,701,502",$0.045452,0.15%
SaluS,"$12,600,429",$12.45,5.46%
Chromia,"$12,493,437",$0.034589,5.50%
GoChain,"$12,454,334",$0.012641,2.53%
BIKI,"$12,379,138",$0.039312,-1.06%
FLETA,"$12,320,682",$0.012390,-0.88%
Standard Tokenization Protocol,"$12,205,985",$0.017322,4.96%
QASH,"$12,150,646",$0.034716,0.35%
HyperDAO,"$12,072,093",$0.035418,0.35%
TrustVerse,"$12,070,990",$0.030190,-1.90%
Unobtanium,"$12,054,834",$59.56,-5.33%
Cred,"$11,998,039",$0.014305,8.16%
Envion,"$11,965,212",$0.093900,6.94%
Contentos,"$11,932,211",$0.009340,6.84%
Raiden Network Token,"$11,926,581",$0.234266,6.56%
General Attention Currency,"$11,909,978",$1.19,-0.14%
CONUN,"$11,783,341",$0.004141,2.27%
Telcoin,"$11,727,516",$0.000248,23.04%
Bitcoin 2,"$11,530,490",$0.664335,27.40%
BitForex Token,"$11,522,297",$0.002709,0.34%
LBRY Credits,"$11,368,557",$0.026114,0.39%
TOP,"$11,300,955",$0.002207,2.28%
Carry,"$11,281,705",$0.002083,-0.79%
NKN,"$11,279,911",$0.024171,1.36%
Orchid,"$11,267,087",$0.171213,1.79%
Einsteinium,"$11,217,679",$0.050965,1.00%
Bread,"$11,173,395",$0.125920,1.40%
XMax,"$11,079,295",$0.000688,0.00%
Zenon,"$10,997,341",$2.61,0.95%
MicroBitcoin,"$10,969,251",$0.000058,2.37%
The Force Protocol,"$10,949,718",$0.035153,3.88%
Nxt,"$10,894,735",$0.010906,0.14%
Monolith,"$10,888,821",$0.333049,-1.74%
Ultra,"$10,887,155",$0.039728,0.14%
Dragon Coins,"$10,873,775",$0.031188,-6.25%
Atomic Wallet Coin,"$10,830,620",$1.02,-12.03%
Rakon,"$10,776,245",$0.081550,-0.60%
TTC,"$10,744,860",$0.024818,0.49%
Proton,"$10,735,711",$0.017071,-8.90%
PeepCoin,"$10,650,966",$0.000089,-2.66%
MediBloc,"$10,565,507",$0.004099,-0.08%
Cryptoindex.com 100,"$10,512,798",$0.168449,0.79%
Emirex Token,"$10,478,038",$0.422731,2.96%
LiquidApps,"$10,473,582",$0.015283,11.08%
Wixlar,"$10,465,638",$0.004376,-1.16%
Spectre.ai Dividend Token,"$10,437,645",$0.127174,0.00%
FIBOS,"$10,430,411",$0.009796,0.34%
REPO,"$10,405,560",$0.094632,15.02%
Sport and Leisure,"$10,376,485",$0.015380,0.14%
Tellor,"$10,315,284",$7.70,1.12%
Arcblock,"$10,309,272",$0.104605,2.93%
Gemini Dollar,"$10,274,213",$0.993503,-0.36%
ChainX,"$10,252,875",$1.76,-0.50%
1SG,"$10,217,326",$4.59,0.00%
Dusk Network,"$10,172,171",$0.039104,10.67%
CyberMiles,"$10,168,931",$0.012711,2.74%
Anchor,"$10,103,885",$0.788719,-0.25%
Bezant,"$10,075,910",$0.012190,5.52%
Content Value Network,"$9,984,322",$0.010794,-1.63%
AirSwap,"$9,971,745",$0.066478,2.21%
Dero,"$9,958,389",$1.01,-6.24%
JUST,"$9,904,126",$0.006907,-2.19%
IoT Chain,"$9,874,451",$0.113220,3.68%
Tael,"$9,839,576",$0.115488,4.44%
Neblio,"$9,661,282",$0.604649,-0.06%
TROY,"$9,657,766",$0.004041,6.67%
LATOKEN,"$9,656,922",$0.025406,0.50%
Metadium,"$9,525,601",$0.007648,1.74%
Skycoin,"$9,482,964",$0.526831,1.17%
BASIC,"$9,431,237",$0.008913,-0.82%
Akropolis ,"$9,399,386",$0.007148,14.67%
Burst,"$9,397,912",$0.004479,-1.04%
Prometeus,"$9,363,516",$1.36,2.82%
Time New Bank,"$9,225,230",$0.002684,4.88%
HYCON,"$9,169,128",$0.004061,-0.31%
Mainframe,"$9,147,267",$0.000978,0.70%
Valor Token,"$9,102,182",$0.454291,0.28%
Dimension Chain,"$9,068,481",$0.037047,-9.54%
Moeda Loyalty Points,"$8,992,449",$0.458123,1.98%
Santiment Network Token,"$8,987,924",$0.142536,0.66%
Cocos-BCX,"$8,956,072",$0.000370,3.78%
DREP,"$8,934,480",$0.003031,5.89%
PlayChip,"$8,910,528",$0.000636,31.09%
Acute Angle Cloud,"$8,909,121",$0.035636,-13.22%
Bluzelle,"$8,905,257",$0.038403,9.71%
Blocknet,"$8,882,943",$1.28,-2.22%
AdEx,"$8,766,144",$0.101012,0.58%
NavCoin,"$8,685,903",$0.125753,-0.04%
Metaverse ETP,"$8,648,643",$0.110121,2.48%
Bibox Token,"$8,553,622",$0.093193,0.92%
Safe,"$8,461,662",$0.406118,13.97%
DMarket,"$8,440,764",$0.148287,2.07%
DigixDAO,"$8,433,070",$46.44,-0.01%
TenX,"$8,373,792",$0.057236,9.67%
DEAPcoin,"$8,318,266",$0.009423,1.33%
VIDY,"$8,131,046",$0.001307,-0.29%
Electra,"$8,057,869",$0.000281,6.08%
SynchroBitcoin,"$8,041,805",$0.108345,-2.30%
FirstBlood,"$8,041,755",$0.093991,-14.34%
Propy,"$8,041,226",$0.114710,0.34%
DDKoin,"$8,017,600",$4.69,18.59%
Quantum Resistant Ledger,"$7,991,302",$0.111639,-0.42%
Dune Network,"$7,960,089",$0.018285,3.72%
Sentinel Protocol,"$7,955,117",$0.019802,1.93%
ODEM,"$7,938,816",$0.036232,-12.75%
#MetaHash,"$7,936,701",$0.004061,1.96%
Capricoin+,"$7,872,106",$0.037197,-0.05%
Switcheo,"$7,836,134",$0.014992,0.46%
Cartesi,"$7,814,624",$0.052682,7.35%
Clams,"$7,778,098",$1.85,153.07%
VNX Exchange,"$7,709,562",$0.274316,-1.21%
Gifto,"$7,701,710",$0.011289,2.28%
Perlin,"$7,670,375",$0.021754,6.99%
MixMarvel,"$7,652,443",$0.003853,1.32%
Veritaseum,"$7,649,100",$3.56,-7.33%
Morpheus.Network,"$7,621,890",$0.225151,-1.70%
B2BX,"$7,569,780",$0.385627,-29.43%
VITE,"$7,513,908",$0.016057,4.62%
OST,"$7,466,147",$0.009949,5.83%
Polis,"$7,429,150",$0.755618,0.55%
Effect.AI,"$7,428,831",$0.029460,2.53%
ShareToken,"$7,319,601",$0.005784,3.56%
Po.et,"$7,248,487",$0.002307,-1.99%
CoinEx Token,"$7,212,002",$0.010898,0.53%
suterusu,"$7,206,417",$0.006752,7.31%
Ethereum Meta,"$7,199,706",$0.000144,-10.32%
Aergo,"$7,160,684",$0.027122,0.17%
DAOstack,"$7,154,309",$0.148946,22.72%
GNY,"$7,137,927",$0.037104,192.32%
EDC Blockchain [old],"$7,134,171",$0.002671,-0.19%
ChronoCoin,"$7,102,553",$0.003198,-0.12%
All Sports,"$7,078,743",$0.004720,24.06%
NOIA Network,"$7,062,226",$0.025810,56.48%
LINA,"$7,059,439",$0.024014,3.28%
Achain,"$7,049,532",$0.007268,5.38%
Aladdin,"$6,987,136",$0.000161,0.52%
Peercoin,"$6,887,679",$0.261249,9.70%
Digix Gold Token,"$6,865,204",$58.65,0.55%
Moss Coin,"$6,820,178",$0.018574,0.36%
Origo,"$6,815,629",$0.015472,0.40%
Darico Ecosystem Coin,"$6,802,954",$0.107973,-0.56%
Kcash,"$6,794,938",$0.015252,8.63%
Monero Classic,"$6,682,970",$0.349953,8.27%
Nestree,"$6,682,451",$0.007432,-1.18%
YOU COIN,"$6,660,994",$0.011978,1.56%
Endor Protocol,"$6,651,285",$0.004687,1.30%
Dock,"$6,594,989",$0.010893,-9.06%
Quark,"$6,536,901",$0.024644,-0.52%
ShipChain,"$6,493,865",$0.013569,-1.48%
SingularDTV,"$6,480,419",$0.010801,-1.48%
Levolution,"$6,474,888",$0.150161,-1.59%
FirmaChain,"$6,449,784",$0.035181,8.46%
Credits,"$6,406,668",$0.034447,2.33%
IQeon,"$6,339,481",$1.15,0.28%
GAPS,"$6,312,322",$0.631232,1.12%
Diamond Platform Token,"$6,310,384",$3.66,-18.19%
Pillar,"$6,309,569",$0.024329,12.54%
United Traders Token,"$6,295,500",$0.167840,-8.20%
Aeon,"$6,273,361",$0.396259,-2.67%
Particl,"$6,242,451",$0.682843,1.68%
Atlas Protocol,"$6,238,795",$0.002422,5.11%
Waves Enterprise,"$6,230,527",$0.181928,5.79%
Eminer,"$6,204,751",$0.004774,-1.58%
Mithril,"$6,204,532",$0.006923,-1.20%
ROOBEE,"$6,197,806",$0.003756,1.98%
EveryCoin ,"$6,183,577",$0.000659,-0.83%
QuickX Protocol,"$6,146,137",$0.012333,1.03%
ALQO,"$6,141,567",$0.094976,-1.53%
FNB Protocol,"$6,083,353",$0.002571,3.65%
PressOne,"$6,039,392",$0.021210,-3.84%
T.OS,"$6,014,559",$0.007107,-2.43%
King DAG,"$5,991,065",$0.124810,0.12%
Grid+,"$5,964,601",$0.152017,-18.47%
Ruff,"$5,959,132",$0.006078,5.30%
Asch,"$5,957,451",$0.063815,8.78%
IONChain,"$5,952,367",$0.049120,-3.37%
S4FE,"$5,949,306",$0.006645,0.57%
Safex Token,"$5,892,948",$0.003125,-7.35%
Steem Dollars,"$5,853,861",$1.01,-0.07%
EDUCare,"$5,838,784",$0.008061,-0.81%
Universa,"$5,814,579",$0.003145,-4.16%
MOAC,"$5,806,781",$0.092963,0.93%
Namecoin,"$5,802,965",$0.393784,0.16%
Wings,"$5,746,732",$0.059087,6.91%
Telos,"$5,730,412",$0.021634,-3.00%
XYO,"$5,671,268",$0.000442,2.84%
BnkToTheFuture,"$5,664,133",$0.007759,0.28%
Pirate Chain,"$5,654,111",$0.034995,14.51%
CoinMetro Token,"$5,559,277",$0.026504,-0.07%
UGAS,"$5,553,974",$0.032343,-3.25%
USDQ,"$5,544,869",$1.00,0.00%
U Network,"$5,528,036",$0.000790,-2.07%
SmartMesh,"$5,526,572",$0.004123,5.59%
Everex,"$5,518,944",$0.243125,2.48%
LCX,"$5,505,224",$0.010342,-10.61%
SIRIN LABS Token,"$5,487,806",$0.011158,2.89%
Agrocoin,"$5,475,298",$0.044900,38.15%
HitChain,"$5,457,741",$0.000089,1.89%
WePower,"$5,446,055",$0.008945,4.44%
OceanEx Token,"$5,403,759",$0.002571,8.35%
GreenPower,"$5,399,578",$0.001671,-3.00%
UnlimitedIP,"$5,396,707",$0.004228,0.75%
TaaS,"$5,352,260",$0.657041,22.26%
Peculium,"$5,340,508",$0.002619,3.76%
Tokenomy,"$5,301,129",$0.026506,5.57%
Neumark,"$5,295,203",$0.138773,3.56%
Zano,"$5,265,297",$0.516281,0.06%
